DATE,RAIN INCHES
Sep-12,0
Oct-12,2.54
Nov-12,11.14
Dec-12,18.3
Jan-13,1.35
Feb-13,0.77
Mar-13,3.67
Apr-13,2
May-13,1.25
Jun-13,1.71
Jul-13,0.01
Aug-13,0.04
Sep-13,1.48
Oct-13,0.72
Nov-13,1.66
Dec-13,0.92
Jan-14,1.2
Feb-14,10.7
Mar-14,10.21
Apr-14,2.64
May-14,0.75
Jun-14,0.05
Jul-14,0.22
Aug-14,0.64
Sep-14,1.6
Oct-14,3.7
Nov-14,3.9
Dec-14,15.2
Jan-15,0.3
Feb-15,7.6
Mar-15,1
Apr-15,2.3
May-15,1.2
Jun-15,0.8
Jul-15,0.7
Aug-15,0.1
Sep-15,0.4
Oct-15,1.2
Nov-15,3.7
Dec-15,11.8
Jan-16,16.1
Feb-16,2.7
Mar-16,16.4
Apr-16,2.8
May-16,2.2
Jun-16,0.9
Jul-16,0
Aug-16,0
Sep-16,0
Oct-16,12.6
Nov-16,5.4
Dec-16,11.6
Jan-17,23.6
Feb-17,23.4
Mar-17,6.9
Apr-17,9.6
May-17,0.5
Jun-17,0.8
Jul-17,0
Aug-17,0.1
Sep-17,0.4
Oct-17,0.8
Nov-17,11.1
Dec-17,0.7
Jan-18,7
Feb-18,1.7
Mar-18,12.6
Apr-18,4.8
May-18,1.8
Jun-18,0.3
Jul-18,0.1
Aug-18,0
Sep-18,0.05
Oct-18,1.02
Nov-18,6.79
Dec-18,5.06
Jan-19,13.18
Feb-19,21.61
Mar-19,9.82
Apr-19,3.83
May-19,6.67
Jun-19,0.46
Jul-19,0
Aug-19,0.21
Sep-19,2.07
Oct-19,0.26
Nov-19,1.97
Dec-19,10.69
Jan-20,4.81
Feb-20,0.02
Mar-20,6.29
Apr-20,2.81
May-20,4.3
Jun-20,0.38
Jul-20,0.09
Aug-20,0.11
Sep-20,0
Oct-20,0.01
Nov-20,3.49
Dec-20,3.63
Jan-21,6.87
Feb-21,4.04
Mar-21,4.06
Apr-21,0.75
May-21,0.18
Jun-21,0.08
Jul-21,0.08
Aug-21,0.01
