DATE,PPT ADJ INCHES
Sep-12,0
Oct-12,4.93
Nov-12,18.36
Dec-12,26.83
Jan-13,1.68
Feb-13,1.05
Mar-13,6.88
Apr-13,2.16
May-13,0.84
Jun-13,3.09
Jul-13,0.02
Aug-13,0
Sep-13,1.77
Oct-13,1.01
Nov-13,2.8
Dec-13,0.63
Jan-14,1.44
Feb-14,19.49
Mar-14,16.36
Apr-14,2.16
May-14,0.87
Jun-14,0
Jul-14,0.04
Aug-14,0.63
Sep-14,1.32
Oct-14,3.68
Nov-14,6.01
Dec-14,17.99
Jan-15,0.26
Feb-15,5.18
Mar-15,0.97
Apr-15,3.1
May-15,0.29
Jun-15,0.56
Jul-15,0.04
Aug-15,0.01
Sep-15,0.41
Oct-15,1.46
Nov-15,6.22
Dec-15,17.5
Jan-16,25.08
Feb-16,3.64
Mar-16,24.07
Apr-16,3.04
May-16,2.64
Jun-16,0.65
Jul-16,0
Aug-16,0
Sep-16,0.01
Oct-16,11.95
Nov-16,8.14
Dec-16,21.49
Jan-17,31.78
Feb-17,30.27
Mar-17,9.97
Apr-17,12.03
May-17,0.6
Jun-17,0.89
Jul-17,0
Aug-17,0.02
Sep-17,0.1
Oct-17,1.28
Nov-17,15.25
Dec-17,0.97
Jan-18,11.5
Feb-18,1.34
Mar-18,18.69
Apr-18,8.14
May-18,0.54
Jun-18,0
Jul-18,0
Aug-18,0
Sep-18,0
Oct-18,1.18
Nov-18,10.43
Dec-18,8.5
Jan-19,17.76
Feb-19,30.21
Mar-19,12.29
Apr-19,3.18
May-19,9.55
Jun-19,0.11
Jul-19,0
Aug-19,0.01
Sep-19,3.93
Oct-19,0.09
Nov-19,3.27
Dec-19,16.55
Jan-20,7.54
Feb-20,0.03
Mar-20,8.25
Apr-20,3.65
May-20,6.01
Jun-20,0.6
Jul-20,0
Aug-20,0.06
Sep-20,0.03
Oct-20,0.02
Nov-20,4.17
Dec-20,7.06
Jan-21,7.9
Feb-21,6.13
Mar-21,6.25
Apr-21,0.94
May-21,0.04
Jun-21,0.17
Jul-21,0.02
Aug-21,0
