DATE,PPT ADJ INCHES,RAIN INCHES
Sep-12,0,--
Oct-12,4.29,4.29
Nov-12,14.44,14.44
Dec-12,23.05,23.05
Jan-13,1.57,1.57
Feb-13,1.22,1.22
Mar-13,4.86,4.86
Apr-13,1.61,1.61
May-13,0.79,0.79
Jun-13,1.17,1.17
Jul-13,0,0
Aug-13,0.06,0.06
Sep-13,1.77,1.27
Oct-13,0.46,0.46
Nov-13,2.32,2.32
Dec-13,0.84,0.84
Jan-14,1.26,1.26
Feb-14,14.96,14.96
Mar-14,13.61,13.61
Apr-14,2.01,1.5
May-14,1.07,1.07
Jun-14,0,0
Jul-14,0.01,0.01
Aug-14,0.96,0.96
Sep-14,1.19,1.19
Oct-14,3.75,3.75
Nov-14,5.02,5.02
Dec-14,20.85,20.85
Jan-15,0.37,0.37
Feb-15,7.88,7.88
Mar-15,1.42,1.42
Apr-15,3.83,3.83
May-15,1,1
Jun-15,0.21,0.21
Jul-15,0.3,0.3
Aug-15,0.52,0.52
Sep-15,0.35,0.35
Oct-15,1.61,1.61
Nov-15,4.38,4.38
Dec-15,13.45,13.45
Jan-16,20.72,20.72
Feb-16,3.77,3.77
Mar-16,20.95,20.95
Apr-16,3.22,3.22
May-16,1.92,1.92
Jun-16,1,1
Jul-16,0,0
Aug-16,0.23,0.23
Sep-16,0.02,0.02
Oct-16,13.83,13.83
Nov-16,4.85,4.85
Dec-16,13.18,13.18
Jan-17,26.38,26.38
Feb-17,27.12,27.12
Mar-17,9.09,9.09
Apr-17,11.81,11.81
May-17,1.03,3.53
Jun-17,0.74,2.5
Jul-17,0,0
Aug-17,0,0
Sep-17,0.6,0
Oct-17,0.89,0.89
Nov-17,16.1,16.1
Dec-17,1.47,2.2
Jan-18,8.38,--
Feb-18,1.62,1.62
Mar-18,16.65,17.85
Apr-18,8.5,8.5
May-18,0.71,0.71
Jun-18,0.33,0.33
Jul-18,0,0
Aug-18,0,0
Sep-18,0.03,0.03
Oct-18,1.01,1.01
Nov-18,7.42,7.42
Dec-18,5.9,5.9
Jan-19,17.11,17.11
Feb-19,24.18,24.18
Mar-19,12.03,13.03
Apr-19,3.65,4.73
May-19,7.86,7.86
Jun-19,1.17,1.17
Jul-19,0,0
Aug-19,0.01,2.51
Sep-19,2.96,2.01
Oct-19,0.22,0.27
Nov-19,2.03,2.03
Dec-19,14.3,11.74
Jan-20,7.17,7.17
Feb-20,0.09,0.09
Mar-20,5.68,5.68
Apr-20,2.48,2.48
May-20,4.79,4.79
Jun-20,0.22,0.22
Jul-20,0,0
Aug-20,0.03,0.02
Sep-20,0,0.02
Oct-20,0,0.02
Nov-20,5.08,5.32
Dec-20,5,5.03
Jan-21,7.02,7.05
Feb-21,5.65,5.65
Mar-21,6.13,5.07
Apr-21,1.34,1.02
May-21,0.02,0.03
Jun-21,0.17,0.25
Jul-21,0,0.01
Aug-21,0,0
