DATE,PPT ADJ INCHES,RAIN INCHES
Aug-12,0,0
Sep-12,0,0
Nov-12,10.33,10.33
Dec-12,12.98,12.98
Jan-13,1.16,1.16
Feb-13,0.8,0.8
Mar-13,3.33,3.33
Apr-13,1.09,1.09
May-13,2.13,2.13
Jun-13,1.23,1.23
Jul-13,1.77,1.77
Aug-13,0.02,0.04
Sep-13,1.27,1.27
Oct-13,0.94,0.92
Nov-13,0.98,0.98
Dec-13,0.26,0.26
Jan-14,0.73,0.73
Feb-14,8.28,8.26
Mar-14,9.06,9.06
Apr-14,1.46,1.34
May-14,0.95,0.95
Jun-14,0.01,0.01
Jul-14,0.02,0.02
Aug-14,0.9,0.9
Sep-14,0.62,0.62
Oct-14,1.71,1.71
Nov-14,2.75,2.75
Dec-14,14.32,14.32
Jan-15,0.07,0.13
Feb-15,5.77,5.77
Mar-15,1.01,1.01
Apr-15,2.16,2.16
May-15,0.66,0.66
Jun-15,0.33,0.33
Jul-15,0.31,0.31
Aug-15,0.05,0.05
Sep-15,0.31,0.31
Oct-15,1.52,1.52
Nov-15,3.31,3.31
Dec-15,9.79,9.79
Jan-16,10.73,10.73
Feb-16,2.28,2.28
Mar-16,16.09,16.09
Apr-16,2.1,2.05
May-16,2.54,2.54
Jun-16,1.03,1.03
Jul-16,0,0
Aug-16,0,0
Sep-16,0.05,0.05
Oct-16,8.02,8.04
Nov-16,5.34,4.72
Dec-16,8.44,8.08
Jan-17,19.1,20.08
Feb-17,19.81,21.52
Mar-17,5.91,6.09
Apr-17,7.84,7.84
May-17,0.39,0.38
Jun-17,0.47,0.46
Jul-17,0,0
Aug-17,0,0
Sep-17,0.98,1.03
Oct-17,0.79,0.79
Nov-17,10.31,10.31
Dec-17,0.89,0.89
Jan-18,6.24,6.23
Feb-18,0.62,0.27
Mar-18,11.36,10.46
Apr-18,4.11,3.93
May-18,1.58,1.58
Jun-18,0.13,0.13
Jul-18,0,0
Aug-18,0,0
Sep-18,0,0
Oct-18,0.65,0.65
Nov-18,3.51,3.47
Dec-18,4.01,3.25
Jan-19,10.11,10.12
Feb-19,18.65,18.65
Mar-19,7.5,7.65
Apr-19,2.43,2.43
May-19,4.88,4.89
Jun-19,0.32,0.32
Jul-19,0,0
Aug-19,0,0
Sep-19,1.82,1.82
Oct-19,0.09,0.09
Nov-19,1.17,--
Dec-19,7.98,7.98
Jan-20,4.31,4.31
Feb-20,0.01,0.01
Mar-20,3.68,3.89
Apr-20,2.35,2.35
May-20,2.61,2.61
Jun-20,0.24,0.24
Jul-20,0.01,0.01
Aug-20,0.01,0.01
Sep-20,0,0
Oct-20,0,0
Nov-20,2.68,2.68
Dec-20,4.06,4.06
Jan-21,5.3,4.46
Feb-21,3.7,3.7
Mar-21,3.39,3.39
Apr-21,0.54,0.54
May-21,0.05,0.05
Jun-21,0.15,0.15
Jul-21,0.04,0.04
Aug-21,0.02,0.02
