DATE,RAIN INCHES
Sep-12,0
Oct-12,2.42
Nov-12,11.28
Dec-12,18.34
Jan-13,1.2
Feb-13,1.36
Mar-13,3.16
Apr-13,1.14
May-13,0.48
Jun-13,2.32
Jul-13,0
Aug-13,0
Sep-13,2.24
Oct-13,0.34
Nov-13,2.76
Dec-13,0.55
Jan-14,0.71
Feb-14,14.1
Mar-14,12.35
Apr-14,2.01
May-14,0.26
Jun-14,0
Jul-14,0.03
Aug-14,0.68
Sep-14,1.01
Oct-14,1.9
Nov-14,--
Dec-14,14.29
Jan-15,0.14
Feb-15,5.55
Mar-15,0.53
Apr-15,3.07
May-15,0.28
Jun-15,0.44
Jul-15,0.01
Aug-15,0.11
Sep-15,0.4
Oct-15,0.52
Nov-15,4.91
Dec-15,10.6
Jan-16,20.2
Feb-16,1.87
Mar-16,16.19
Apr-16,3.02
May-16,0.83
Jun-16,2.56
Jul-16,0
Aug-16,0
Sep-16,0
Oct-16,12.15
Nov-16,6.71
Dec-16,18.09
Jan-17,18.59
Feb-17,17.81
Mar-17,7.7
Apr-17,7.89
May-17,0.29
Jun-17,0.75
Jul-17,0
Aug-17,0
Sep-17,0.19
Oct-17,1.24
Nov-17,11.08
Dec-17,0.38
Jan-18,8.89
Feb-18,1.07
Mar-18,11.97
Apr-18,7.88
May-18,0.74
Jun-18,0
Jul-18,0
Aug-18,0
Sep-18,0
Oct-18,0.14
Nov-18,6.8
Dec-18,6.79
Jan-19,13.42
Feb-19,26.52
Mar-19,6.32
Apr-19,3.73
May-19,4.48
Jun-19,0
Jul-19,0
Aug-19,0
Sep-19,2
Oct-19,0
Nov-19,0.15
Dec-19,10.9
Jan-20,6.96
Feb-20,0.46
Mar-20,0
Apr-20,2.44
May-20,4.37
Jun-20,4.06
Jul-20,0
Aug-20,0.03
Sep-20,0.01
Oct-20,0
Nov-20,2.64
Dec-20,5.09
Jan-21,6.32
Feb-21,4.77
Mar-21,4.67
Apr-21,0.79
May-21,0.14
Jun-21,0.09
Jul-21,0
Aug-21,0
