DATE,PPT ADJ INCHES
Sep-12,0
Oct-12,2.07
Nov-12,9.39
Dec-12,12.92
Jan-13,1.34
Feb-13,1.18
Mar-13,2.62
Apr-13,0.87
May-13,1.55
Jun-13,1.1
Jul-13,0.7
Aug-13,0.3
Sep-13,1.05
Oct-13,1.23
Nov-13,1.25
Dec-13,0.42
Jan-14,1.61
Feb-14,7.1
Mar-14,7.87
Apr-14,1.34
May-14,0.54
Jun-14,0
Jul-14,0
Aug-14,1.09
Sep-14,0.53
Oct-14,1.73
Nov-14,2.4
Dec-14,11.41
Jan-15,0.11
Feb-15,5.15
Mar-15,0.82
Apr-15,1.25
May-15,1.02
Jun-15,0.14
Jul-15,0.37
Aug-15,0.28
Sep-15,0.3
Oct-15,1.54
Nov-15,2.99
Dec-15,8.82
Jan-16,8.43
Feb-16,2.02
Mar-16,15.31
Apr-16,1.97
May-16,2.33
Jun-16,1.1
Jul-16,0
Aug-16,0
Sep-16,0.3
Oct-16,7.68
Nov-16,3.94
Dec-16,6.52
Jan-17,17.69
Feb-17,18.44
Mar-17,5.54
Apr-17,6.9
May-17,0.36
Jun-17,0.41
Jul-17,0
Aug-17,0.1
Sep-17,0.54
Oct-17,0.71
Nov-17,9.34
Dec-17,0.5
Jan-18,6.87
Feb-18,0.63
Mar-18,10.63
Apr-18,4.53
May-18,0.88
Jun-18,0.09
Jul-18,0.01
Aug-18,0
Sep-18,0
Oct-18,0.92
Nov-18,2.98
Dec-18,5.54
Jan-19,10.38
Feb-19,19.52
Mar-19,5.7
Apr-19,2.16
May-19,3.75
Jun-19,0.19
Jul-19,0
Aug-19,0
Sep-19,1.49
Oct-19,0.1
Nov-19,0.92
Dec-19,7.84
Jan-20,3.95
Feb-20,0
Mar-20,3.52
Apr-20,1.54
May-20,3.45
Jun-20,0.48
Jul-20,0.81
Aug-20,0.02
Sep-20,0.01
Oct-20,0.02
Nov-20,2.36
Dec-20,3.53
Jan-21,4.29
Feb-21,3.37
Mar-21,3.34
Apr-21,0.85
May-21,0.29
Jun-21,0.31
Jul-21,0.09
Aug-21,0
