DATE,RAIN INCHES
Sep-12,0
Oct-12,2.43
Nov-12,11.79
Dec-12,14.31
Jan-13,1.73
Feb-13,0.63
Mar-13,3.27
Apr-13,1.17
May-13,1.02
Jun-13,0.49
Jul-13,0
Aug-13,0.03
Sep-13,1.99
Oct-13,0.61
Nov-13,1.03
Dec-13,0.51
Jan-14,0.75
Feb-14,6.89
Mar-14,9.28
Apr-14,1.62
May-14,0.26
Jun-14,0
Jul-14,0
Aug-14,1.52
Sep-14,0.88
Oct-14,1.63
Nov-14,2.5
Dec-14,15.49
Jan-15,0.09
Feb-15,6.24
Mar-15,0.89
Apr-15,2.02
May-15,1.25
Jun-15,0.18
Jul-15,0.41
Aug-15,0
Sep-15,0.22
Oct-15,1.65
Nov-15,3.32
Dec-15,7.88
Jan-16,12.97
Feb-16,2.44
Mar-16,18.26
Apr-16,1.94
May-16,1.88
Jun-16,1.27
Jul-16,0
Aug-16,0
Sep-16,0.01
Oct-16,8.43
Nov-16,3.7
Dec-16,8.36
Jan-17,21.05
Feb-17,21.84
Mar-17,5.64
Apr-17,9.74
May-17,0.39
Jun-17,0.78
Jul-17,0
Aug-17,0
Sep-17,0.98
Oct-17,0.58
Nov-17,10.14
Dec-17,0.84
Jan-18,6.19
Feb-18,0.9
Mar-18,12.88
Apr-18,2.96
May-18,2.22
Jun-18,0.45
Jul-18,0
Aug-18,0
Sep-18,0
Oct-18,0.87
Nov-18,4.65
Dec-18,4.36
Jan-19,12.54
Feb-19,20.74
Mar-19,7.88
Apr-19,2.43
May-19,4.07
Jun-19,1.88
Jul-19,0
Aug-19,0.01
Sep-19,1.78
Oct-19,0.15
Nov-19,1
Dec-19,9.48
Jan-20,0
Feb-20,0
Mar-20,4.78
Apr-20,1.95
May-20,3.97
Jun-20,3.22
Jul-20,0.05
Aug-20,0.03
Sep-20,0
Oct-20,0
Nov-20,3.26
Dec-20,2.77
Jan-21,2.62
Feb-21,3.06
Mar-21,2.64
Apr-21,0.92
May-21,0.1
Jun-21,0.12
Jul-21,0.02
Aug-21,0.01
