DATE,PPT ADJ INCHES
Sep-12,0
Oct-12,5.12
Nov-12,17.38
Dec-12,24.5
Jan-13,0.76
Feb-13,1.55
Mar-13,6.48
Apr-13,1.76
May-13,1.08
Jun-13,3.24
Jul-13,0
Aug-13,0
Sep-13,2.52
Oct-13,1.68
Nov-13,2.4
Dec-13,1.2
Jan-14,1.32
Feb-14,21.44
Mar-14,14.92
Apr-14,3.88
May-14,1.08
Jun-14,0
Jul-14,0.01
Aug-14,0.72
Sep-14,1.1
Oct-14,4.68
Nov-14,7
Dec-14,25.09
Jan-15,0.25
Feb-15,10.23
Mar-15,1.56
Apr-15,5.68
May-15,0.48
Jun-15,0.08
Jul-15,0.04
Aug-15,0.22
Sep-15,0.34
Oct-15,0.96
Nov-15,5.84
Dec-15,18.22
Jan-16,26.9
Feb-16,2.94
Mar-16,28.61
Apr-16,2.84
May-16,1.94
Jun-16,1.31
Jul-16,0
Aug-16,0
Sep-16,0.03
Oct-16,17.39
Nov-16,8.33
Dec-16,19.18
Jan-17,38.42
Feb-17,37.65
Mar-17,10.75
Apr-17,13.96
May-17,0.63
Jun-17,0.63
Jul-17,0
Aug-17,0
Sep-17,0.21
Oct-17,0.97
Nov-17,19.73
Dec-17,1.31
Jan-18,11.55
Feb-18,3.15
Mar-18,21.3
Apr-18,8.55
May-18,0.54
Jun-18,0.1
Jul-18,0
Aug-18,0
Sep-18,0
Oct-18,1.01
Nov-18,12.01
Dec-18,7.6
Jan-19,19.2
Feb-19,35.82
Mar-19,15.39
Apr-19,5.12
May-19,7.49
Jun-19,0.04
Jul-19,0
Aug-19,0
Sep-19,2.7
Oct-19,0.28
Nov-19,2.93
Dec-19,18.69
Jan-20,8.95
Feb-20,0.52
Mar-20,6.34
Apr-20,5.38
May-20,5.43
Jun-20,0.37
Jul-20,0
Aug-20,0
Sep-20,0
Oct-20,0
Nov-20,6.69
Dec-20,6.78
Jan-21,6.82
Feb-21,6.85
Mar-21,5.96
Apr-21,1.07
May-21,0.24
Jun-21,0.09
Jul-21,0.02
Aug-21,0
