areasymbol,musym,muname,mukind,comppct_l,comppct_h,compname,compkind,runoff,tfact,wei,weg,erocl,soilslippot,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,cokey,slopelen_r,reannualpr_r,esrisymbology,kffact,mukey,Shape_Length,Shape_Area,mukey_cokey
CA708,137p,"Deadwood-Clallam families-Rock outcrop complex, 70 to 100 percent slopes.",Complex,,,Deadwood family,Family,,1,0,8,,,"Loamy-skeletal, mixed, mesic Dystric Lithic Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Lithic Xerochrepts,loamy-skeletal,,25435547,,,Inceptisols,0.340000003576279,1528769,11560.200712944541010,1766548.031492296839133,1528769_25435547
CA708,137p,"Deadwood-Clallam families-Rock outcrop complex, 70 to 100 percent slopes.",Complex,,,Deadwood family,Family,,1,0,8,,,"Loamy-skeletal, mixed, mesic Dystric Lithic Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Lithic Xerochrepts,loamy-skeletal,,25435547,,,Inceptisols,0.340000003576279,1528769,2159.598416531315252,194587.407373237219872,1528769_25435547
CA708,142p,"Deadwood-Kistirn families complex, 70 to 100 percent slopes.",Complex,,,Deadwood family,Family,,1,0,8,,,"Loamy-skeletal, mixed, mesic Dystric Lithic Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Lithic Xerochrepts,loamy-skeletal,,25435551,,,Inceptisols,0.389999985694885,1528771,4642.228600635939983,552449.541092065279372,1528771_25435551
CA708,142p,"Deadwood-Kistirn families complex, 70 to 100 percent slopes.",Complex,,,Deadwood family,Family,,1,0,8,,,"Loamy-skeletal, mixed, mesic Dystric Lithic Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Lithic Xerochrepts,loamy-skeletal,,25435551,,,Inceptisols,0.389999985694885,1528771,8657.180471083329394,2358386.937686822842807,1528771_25435551
CA708,150p,"Dystric Lithic Xerochrepts, 30 to 70 percent slopes.",Consociation,,,Dystric Lithic Xerochrepts,Taxon above family,,1,56,5,,,,Inceptisols,,,,,,25435555,,,Inceptisols,0.230000004172325,1528774,3817.587701495825058,615369.389260262832977,1528774_25435555
CA708,216p,"Inville-Woodseye families complex, 10 to 50 percent slopes.",Complex,,,Inville family,Family,,3,0,8,,,"Loamy-skeletal, mixed, frigid Ultic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Ultic Haploxeralfs,loamy-skeletal,,25435567,,,Alfisols,0.250000000000000,1528780,5658.931702122534261,1127890.900126438355073,1528780_25435567
CA708,243p,Rock outcrop-Rubble land complex,Complex,,,Rock outcrop,Miscellaneous area,,,,,,,,,,,,,,25435569,,,No Soil,,1528784,5074.068010926337593,791346.932422607205808,1528784_25435569
CA708,256p,"Sattley family-Rock outcrop complex, 30 to 70 percent slopes.",Complex,,,Sattley family,Family,,3,38,7,,,"Loamy-skeletal, mixed, frigid Ultic Argixerolls",Mollisols,Xerolls,Argixerolls,Ultic Argixerolls,loamy-skeletal,,25435573,,,Mollisols,0.319999992847443,1528786,2347.531990518584735,195425.529280336864758,1528786_25435573
CA708,256p,"Sattley family-Rock outcrop complex, 30 to 70 percent slopes.",Complex,,,Sattley family,Family,,3,38,7,,,"Loamy-skeletal, mixed, frigid Ultic Argixerolls",Mollisols,Xerolls,Argixerolls,Ultic Argixerolls,loamy-skeletal,,25435573,,,Mollisols,0.319999992847443,1528786,16664.559219507289527,6301397.623722820542753,1528786_25435573
CA708,300p,"Wapi-Chaix families complex, 50 to 85 percent slopes.",Complex,,,Wapi family,Family,,1,134,2,,,"Mixed, mesic Lithic Xeropsamments",Entisols,Psamments,Xeropsamments,Lithic Xeropsamments,not used,,25435581,,,Entisols,0.250000000000000,1528790,2294.453077620334625,95210.474813247579732,1528790_25435581
