"areasymbol","cokey","claytotal_r","sandtotal_r","silttotal_r","hzdept_r","om_r","kffact","kwfact"
"CA708",27089135,50,22.1,27.9,0,1.5,0.24,0.1
"CA708",27089135,50,22.1,27.9,10,0.75,0.24,0.24
"CA708",27089135,35,16.9,48.1,89,0.5,0.43,0.43
"CA708",27089135,NA,NA,NA,152,NA,NA,NA
"CA708",27089136,15,65.9,19.1,0,1.5,0.24,0.24
"CA708",27089136,33,53,14,18,0.75,0.24,0.17
"CA708",27089136,45,26.1,28.9,23,0.5,0.28,0.2
"CA708",27089136,NA,NA,NA,28,NA,NA,NA
"CA708",27089137,NA,NA,NA,0,80,NA,NA
"CA708",27089137,2,79.7,18.3,2,6,0.1,0.02
"CA708",27089137,2,79.7,18.3,9,5,0.17,0.05
"CA708",27089137,1,92.5,6.5,24,4.5,0.02,0.02
"CA708",27089137,3,67.3,29.7,33,4,0.24,0.05
"CA708",27089137,3,67.3,29.7,51,6,0.32,0.1
"CA708",27089137,2,79.7,18.3,89,0.5,0.32,0.05
"CA708",27089138,NA,NA,NA,0,80,NA,NA
"CA708",27089138,3,67.3,29.7,2,6,0.17,0.05
"CA708",27089138,3,67.3,29.7,9,5,0.17,0.05
"CA708",27089138,4,79.2,16.8,18,4,0.17,0.05
"CA708",27089138,4,79.2,16.8,29,3,0.1,0.02
"CA708",27089138,3,80.2,16.8,58,1,0.32,0.05
"CA708",27089138,3,79,18,84,0.5,0.32,0.05
"CA708",27089139,NA,NA,NA,0,80,NA,NA
"CA708",27089139,NA,NA,NA,4,70,NA,NA
"CA708",27089139,12,68.3,19.7,7,5,0.2,0.1
"CA708",27089139,15,65.9,19.1,27,4,0.2,0.1
"CA708",27089139,15,65.9,19.1,44,3,0.2,0.1
"CA708",27089139,2,67.8,30.2,73,1.5,0.2,0.02
"CA708",27089139,1,80.6,18.4,133,1,0.1,0.02
"CA708",27089140,8,68.5,23.5,0,2.5,0.15,0.05
"CA708",27089140,8,68.5,23.5,30,0.75,0.28,0.15
"CA708",27089140,NA,NA,NA,84,NA,NA,NA
"CA708",27089141,10,66.9,23.1,0,2.5,0.15,0.1
"CA708",27089141,10,66.9,23.1,18,0.75,0.28,0.1
"CA708",27089141,NA,NA,NA,51,NA,NA,NA
"CA708",27089142,NA,NA,NA,0,55.56,NA,NA
"CA708",27089142,2.8,69.7,27.5,2,16.82,0.15,0.1
"CA708",27089142,2.5,71,26.5,9,13.5,0.15,0.05
"CA708",27089142,2.8,63.6,33.6,25,10.65,0.17,0.05
"CA708",27089142,3.3,61.4,35.3,54,9.7,0.2,0.05
"CA708",27089142,3.7,57.1,39.2,76,5.92,0.28,0.1
"CA708",27089142,3.7,69.9,26.4,119,1.84,0.37,0.05
"CA708",27089143,NA,NA,NA,0,80,NA,NA
"CA708",27089143,NA,NA,NA,3,75,NA,NA
"CA708",27089143,4,66.5,29.5,6,16,0.15,0.1
"CA708",27089143,3,65.8,31.2,12,15,0.17,0.17
"CA708",27089143,5,65.6,29.4,20,14,0.15,0.05
"CA708",27089143,5,64.3,30.7,39,11.6,0.28,0.17
"CA708",27089143,6,63.5,30.5,61,5.8,0.28,0.1
"CA708",27089143,7,69.1,23.9,79,1.8,0.37,0.1
"CA708",27089144,NA,NA,NA,0,77.6,NA,NA
"CA708",27089144,1.7,74,24.3,2,15.9,0.24,0.05
"CA708",27089144,1.6,70.5,27.9,10,14.2,0.28,0.05
"CA708",27089144,2.2,56.7,41.1,25,14.5,0.37,0.1
"CA708",27089144,2.1,71.3,26.6,42,3.4,0.32,0.02
"CA708",27089144,NA,NA,NA,76,NA,NA,NA
"CA708",27089145,NA,NA,NA,0,80,NA,NA
"CA708",27089145,4,66.5,29.5,6,22,0.24,0.1
"CA708",27089145,4,66.5,29.5,15,10,0.24,0.05
"CA708",27089145,6,65,29,28,4,0.15,0.02
"CA708",27089145,5,65.6,29.4,40,3,0.17,0.02
"CA708",27089145,3,67.3,29.7,65,2,0.32,0.05
"CA708",27089146,NA,NA,NA,0,42.16,NA,NA
"CA708",27089146,8,70.1,21.9,5,16,0.2,0.15
"CA708",27089146,18,43.2,38.8,10,10,0.24,0.15
"CA708",27089146,22,41.1,36.9,15,8,0.24,0.1
"CA708",27089146,30,17.4,52.6,24,3.63,0.32,0.32
"CA708",27089146,32,17.9,50.1,46,1.72,0.37,0.24
"CA708",27089146,34,17.3,48.7,76,2,0.37,0.17
"CA708",27089146,40,30,30,103,1,0.28,0.1
"CA708",27089146,37,31.9,31.1,127,0.5,0.28,0.2
"CA708",27089147,20,26.5,53.5,0,6,0.32,0.32
"CA708",27089147,33,17.6,49.4,23,0.75,0.37,0.37
"CA708",27089147,23,63.5,13.5,84,0.5,0.24,0.24
"CA708",27089148,30,6.8,63.2,0,8.5,0.32,0.32
"CA708",27089148,30,6.8,63.2,18,8.3,0.32,0.32
"CA708",27089148,19,8,73,30,3.1,0.43,0.43
"CA708",27089148,5,91.1,3.9,36,4.6,0.02,0.02
"CA708",27089148,29,7,64,50,18,0.37,0.37
"CA708",27089148,10,67.8,22.2,70,4.6,0.17,0.05
"CA708",27089148,5,91.1,3.9,87,3.4,0.02,0.02
"CA708",27089149,NA,NA,NA,0,67.3,NA,NA
"CA708",27089149,12,62.3,25.7,7,8.5,0.28,0.2
"CA708",27089149,2.1,87.7,10.2,21,1.2,0.1,0.05
"CA708",27089149,31,20.9,48.1,28,30,0.32,0.32
"CA708",27089149,44.9,4.8,50.3,33,10.1,0.28,0.28
"CA708",27089149,32.6,10.9,56.5,41,8.3,0.32,0.32
"CA708",27089149,10.7,71.9,17.4,58,3.1,0.17,0.1
"CA708",27089149,18.9,26.2,54.9,72,5.1,0.37,0.37
"CA708",27089149,21.8,27.4,50.8,92,22.3,0.32,0.32
"CA708",27089149,0.7,96.3,3,140,0.02,0.02,0.02
"CA708",27089150,0,97.9,2.1,0,0.2,0.02,0.02
"CA708",27089150,0,97.9,2.1,17,0.2,0.02,0.02
"CA708",27089150,0,97.9,2.1,36,0.2,0.02,0.02
"CA708",27089150,0,97.9,2.1,43,0.2,0.02,0.02
"CA708",27089150,0,98,2,49,0,0.02,0.02
"CA708",27089150,0,98,2,65,0,0.02,0.02
"CA708",27089150,0,93,7,80,0,0.02,0.02
"CA708",27089151,NA,NA,NA,0,80,NA,NA
"CA708",27089151,2.5,81.1,16.4,5,6.4,0.05,0.05
"CA708",27089151,2.2,81.5,16.3,10,3,0.17,0.1
"CA708",27089151,2.5,80.4,17.1,17,2.7,0.17,0.1
"CA708",27089151,4.1,69.4,26.5,32,5.3,0.24,0.15
"CA708",27089151,3.5,69.7,26.8,44,3,0.28,0.1
"CA708",27089151,3.8,75.3,20.9,59,1.1,0.24,0.1
"CA708",27089151,3.3,78.1,18.6,86,0.58,0.32,0.1
"CA708",27089151,5.5,62.3,32.2,112,1.1,0.43,0.1
"CA708",27089152,NA,NA,NA,0,80,NA,NA
"CA708",27089152,4,66.5,29.5,6,22,0.24,0.1
"CA708",27089152,4,66.5,29.5,15,10,0.24,0.05
"CA708",27089152,6,65,29,28,4,0.15,0.02
"CA708",27089152,5,65.6,29.4,40,3,0.17,0.02
"CA708",27089152,3,67.3,29.7,65,2,0.32,0.05
"CA708",27089153,NA,NA,NA,0,80,NA,NA
"CA708",27089153,NA,NA,NA,4,70,NA,NA
"CA708",27089153,12,68.3,19.7,7,5,0.2,0.1
"CA708",27089153,15,65.9,19.1,27,4,0.2,0.1
"CA708",27089153,15,65.9,19.1,44,3,0.2,0.1
"CA708",27089153,2,67.8,30.2,73,1.5,0.2,0.02
"CA708",27089153,1,80.6,18.4,133,1,0.1,0.02
"CA708",27089154,20,26.5,53.5,0,6,0.32,0.32
"CA708",27089154,33,17.6,49.4,23,0.75,0.37,0.37
"CA708",27089154,23,63.5,13.5,84,0.5,0.24,0.24
"CA708",27089155,15,65.9,19.1,0,1.5,0.24,0.24
"CA708",27089155,33,53,14,18,0.75,0.24,0.17
"CA708",27089155,45,26.1,28.9,23,0.5,0.28,0.2
"CA708",27089155,NA,NA,NA,28,NA,NA,NA
"CA708",27089160,20,42.1,37.9,0,2.5,0.24,0.24
"CA708",27089160,20,42.1,37.9,41,0.75,0.37,0.17
"CA708",27089160,20,42.1,37.9,58,0.5,0.37,0.15
"CA708",27089160,NA,NA,NA,107,NA,NA,NA
"CA708",27089161,20,42.1,37.9,0,2.5,0.24,0.24
"CA708",27089161,31,35.4,33.6,41,0.75,0.28,0.2
"CA708",27089161,NA,NA,NA,114,NA,NA,NA
"CA708",27089162,20,42.1,37.9,0,2.5,0.32,0.05
"CA708",27089162,25,38.5,36.5,31,0.75,0.32,0.05
"CA708",27089162,12,68.3,19.7,56,0.5,0.28,0.1
"CA708",27089162,NA,NA,NA,112,NA,NA,NA
"CA708",27089168,15,65.9,19.1,0,1.5,0.24,0.24
"CA708",27089168,33,53,14,18,0.75,0.24,0.17
"CA708",27089168,45,26.1,28.9,23,0.5,0.28,0.2
"CA708",27089168,NA,NA,NA,28,NA,NA,NA
"CA708",27089169,20,42.1,37.9,0,2.5,0.32,0.1
"CA708",27089169,25,38.5,36.5,20,0.75,0.32,0.15
"CA708",27089169,NA,NA,NA,64,NA,NA,NA
"CA708",27089174,20,42.1,37.9,0,2.5,0.24,0.24
"CA708",27089174,25,35.8,39.2,20,0.75,0.32,0.1
"CA708",27089174,NA,NA,NA,64,NA,NA,NA
"CA708",27089175,20,42.1,37.9,0,2.5,0.32,0.1
"CA708",27089175,25,38.5,36.5,20,0.75,0.32,0.15
"CA708",27089175,NA,NA,NA,64,NA,NA,NA
"CA708",27089182,20,42.1,37.9,0,2.5,0.32,0.1
"CA708",27089182,25,38.5,36.5,20,0.75,0.32,0.15
"CA708",27089182,NA,NA,NA,64,NA,NA,NA
"CA708",27089183,20,42.1,37.9,0,2.5,0.24,0.24
"CA708",27089183,25,35.8,39.2,20,0.75,0.32,0.1
"CA708",27089183,NA,NA,NA,64,NA,NA,NA
"CA708",27089187,20,42.1,37.9,0,2.5,0.32,0.05
"CA708",27089187,25,38.5,36.5,31,0.75,0.32,0.05
"CA708",27089187,12,68.3,19.7,56,0.5,0.28,0.1
"CA708",27089187,NA,NA,NA,112,NA,NA,NA
"CA708",27089188,20,42.1,37.9,0,2.5,0.24,0.24
"CA708",27089188,25,38.5,36.5,41,0.75,0.32,0.17
"CA708",27089188,31,18.1,50.9,112,0.5,0.37,0.2
"CA708",27089189,15,65.9,19.1,0,2,0.15,0.05
"CA708",27089189,25,38.5,36.5,15,0.75,0.32,0.1
"CA708",27089189,NA,NA,NA,46,NA,NA,NA
"CA708",27089196,20,42.1,37.9,0,2.5,0.32,0.05
"CA708",27089196,25,38.5,36.5,31,0.75,0.32,0.05
"CA708",27089196,12,68.3,19.7,56,0.5,0.28,0.1
"CA708",27089196,NA,NA,NA,112,NA,NA,NA
"CA708",27089197,20,42.1,37.9,0,2.5,0.24,0.24
"CA708",27089197,25,38.5,36.5,41,0.75,0.32,0.17
"CA708",27089197,31,18.1,50.9,112,0.5,0.37,0.2
"CA708",27089198,15,65.9,19.1,0,2.5,0.15,0.1
"CA708",27089198,25,38.5,36.5,36,0.75,0.32,0.1
"CA708",27089198,NA,NA,NA,152,NA,NA,NA
"CA708",27089208,20,42.1,37.9,0,2.5,0.32,0.05
"CA708",27089208,25,38.5,36.5,31,0.75,0.32,0.05
"CA708",27089208,12,68.3,19.7,56,0.5,0.28,0.1
"CA708",27089208,NA,NA,NA,112,NA,NA,NA
"CA708",27089209,15,65.9,19.1,0,2.5,0.15,0.1
"CA708",27089209,25,38.5,36.5,36,0.75,0.32,0.1
"CA708",27089209,NA,NA,NA,152,NA,NA,NA
"CA708",27089210,NA,NA,NA,0,NA,NA,NA
"CA708",27089211,15,35,50,0,55,NA,NA
"CA708",27089211,10,67,23,3,9,0.15,0.1
"CA708",27089211,10,67,23,10,3.5,0.15,0.05
"CA708",27089211,10,67,23,25,1.5,0.17,0.05
"CA708",27089211,11,66,23,40,0.73,0.2,0.05
"CA708",27089211,12,68,20,57,0.44,0.28,0.05
"CA708",27089211,14,67,19,88,0.24,0.24,0.02
"CA708",27089212,15,35,50,0,55,NA,NA
"CA708",27089212,16,44,40,5,4,0.28,0.28
"CA708",27089212,20,42,38,13,3.5,0.28,0.28
"CA708",27089212,24,39,37,34,1.5,0.32,0.32
"CA708",27089212,26,38,36,64,0.44,0.37,0.37
"CA708",27089212,28,34,38,94,0.24,0.37,0.37
"CA708",27089213,14,63,23,0,4,0.32,0.32
"CA708",27089213,13,63.5,23.5,3,2,0.37,0.37
"CA708",27089213,11,68,21,18,1.5,0.32,0.32
"CA708",27089213,9,64,27,34,1,0.55,0.55
"CA708",27089213,8,65,27,45,0.8,0.55,0.55
"CA708",27089213,7,66,27,70,0.5,0.55,0.55
"CA708",27089213,6,61,33,95,0.3,0.64,0.64
"CA708",27089213,6,61,33,130,0.2,0.64,0.64
"CA708",27089214,25,15,60,0,26.5,NA,NA
"CA708",27089214,20,27,53,8,11,0.32,0.32
"CA708",27089214,18,27,55,30,3,0.37,0.37
"CA708",27089214,23,59,18,56,1,0.24,0.05
"CA708",27089214,18,67,15,89,0.8,0.1,0.05
"CA708",27089214,15,65.9,19.1,100,0.8,0.15,0.05
"CA708",27089214,24,58,18,125,0.5,0.15,0.05
"CA708",27089215,20,42.1,37.9,0,2.5,0.32,0.05
"CA708",27089215,25,38.5,36.5,31,0.75,0.32,0.05
"CA708",27089215,12,68.3,19.7,56,0.5,0.28,0.05
"CA708",27089215,NA,NA,NA,112,NA,NA,NA
"CA708",27089216,20,42.1,37.9,0,2.5,0.24,0.24
"CA708",27089216,31,35.4,33.6,41,0.75,0.28,0.2
"CA708",27089216,NA,NA,NA,114,NA,NA,NA
"CA708",27089217,15,35,50,0,55,NA,NA
"CA708",27089217,10,67,23,3,9,0.15,0.1
"CA708",27089217,10,67,23,10,3.5,0.15,0.05
"CA708",27089217,10,67,23,25,1.5,0.17,0.05
"CA708",27089217,11,66,23,40,0.73,0.2,0.05
"CA708",27089217,12,68,20,57,0.44,0.28,0.05
"CA708",27089217,14,67,19,88,0.24,0.24,0.02
"CA708",27089218,14,63,23,0,4,0.32,0.32
"CA708",27089218,13,63.5,23.5,3,2,0.37,0.37
"CA708",27089218,11,68,21,18,1.5,0.32,0.32
"CA708",27089218,9,64,27,34,1,0.55,0.55
"CA708",27089218,8,65,27,45,0.8,0.55,0.55
"CA708",27089218,7,66,27,70,0.5,0.55,0.55
"CA708",27089218,6,61,33,95,0.3,0.64,0.64
"CA708",27089218,6,61,33,130,0.2,0.64,0.64
"CA708",27089219,20,42,38,0,9,0.2,0.2
"CA708",27089219,22,41,37,7,7,0.24,0.24
"CA708",27089219,25,38,37,20,2,0.32,0.32
"CA708",27089219,24,39,37,48,0.8,0.32,0.32
"CA708",27089219,24,58,18,72,0.5,0.15,0.02
"CA708",27089220,20,42.1,37.9,0,2.5,0.24,0.24
"CA708",27089220,31,35.4,33.6,41,0.75,0.28,0.2
"CA708",27089220,NA,NA,NA,114,NA,NA,NA
"CA708",27089221,15,65.9,19.1,0,2.5,0.15,0.1
"CA708",27089221,25,38.5,36.5,36,0.75,0.32,0.1
"CA708",27089221,NA,NA,NA,152,NA,NA,NA
"CA708",27089222,15,35,50,0,55,NA,NA
"CA708",27089222,8,70,22,3,14.7,0.17,0.05
"CA708",27089222,10,68,22,8,11.2,0.17,0.05
"CA708",27089222,12,71,17,19,6.6,0.1,0.02
"CA708",27089222,NA,NA,NA,27,NA,NA,NA
"CA708",27089223,12,71,17,0,5,0.1,0.1
"CA708",27089223,13,70,17,7,3,0.15,0.1
"CA708",27089223,14,70,16,26,2,0.15,0.1
"CA708",27089223,14,70,16,48,1.5,0.15,0.05
"CA708",27089223,12,71,17,78,1,0.17,0.05
"CA708",27089223,NA,NA,NA,132,NA,NA,NA
"CA708",27089225,15,35,50,0,55,NA,NA
"CA708",27089225,10,67,23,4,10,0.15,0.1
"CA708",27089225,12,68,20,11,3,0.15,0.1
"CA708",27089225,14,67,19,17,1.4,0.17,0.05
"CA708",27089225,16,65,19,27,1,0.24,0.05
"CA708",27089225,20,42,38,47,0.9,0.32,0.15
"CA708",27089225,18,43.2,38.8,72,0.8,0.37,0.2
"CA708",27089225,16,44,40,107,0.5,0.43,0.1
"CA708",27089225,NA,NA,NA,145,NA,NA,NA
"CA708",27089226,15,35,50,0,55,NA,NA
"CA708",27089226,12,68,20,4,4,0.1,0.05
"CA708",27089226,14,67,19,9,3.7,0.1,0.05
"CA708",27089226,17,64,19,20,1.8,0.2,0.05
"CA708",27089226,21,41.6,37.4,42,0.97,0.32,0.1
"CA708",27089226,19,66,15,65,0.5,0.2,0.05
"CA708",27089226,17,64,19,108,0.5,0.24,0.1
"CA708",27089226,15,65.9,19.1,141,0.47,0.24,0.24
"CA708",27089227,25,15,60,0,26.5,NA,NA
"CA708",27089227,15,30,55,25,11,0.37,0.37
"CA708",27089227,15,30,55,32,2,0.43,0.43
