"A"||"A"||||4|||14|||||0|0|0|0|0|10|40|55|80|35|50|75|30|50|70|25|40|55||29|||3|||6|||5|||7|||9|||47|||12|||35||18|24|27||||4|5.1|8||||1.45|1.5|1.55||||1.67|1.72|1.72||4|6|8|0.08|0.11|0.15|||||21.5|||15.1|||25||1|3|3|36|45|53|11|16|18|0|2|8|".10"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|20|24.5|30||15|||15||5.6|6.2|6.5|||||6.06|||||||14.1|||||||||||||||||||||"27305207"|"81503714"
"Bt3"||"B"||3||44|||75|||||0|0|0|0|40|50|30|75|80|25|70|75|20|70|75|15|55|60||28|||1|||4|||7|||8|||9|||37|||11|||26||27|35|35||||0.2|1.2|2||||1.4|1.45|1.5||||1.91|1.96|1.96||2|2|4|0.06|0.11|0.14|||||19.6|||21.3|||24||3|6|6|37|48|49|19|25|25|0|10|12|".10"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|15|17|20||10|||10.1||4.5|5.5|6|||||7.68|||||||12.2|||||||||||||||||||||"27305207"|"81503716"
"Bt4"||"B"||4||75|||103|||||0|0|0|0|40|50|30|60|80|25|55|75|20|55|75|15|45|60||27|||1|||4|||7|||8|||8|||38|||11|||27||27|35|35||||0.2|0.64|2||||1.4|1.45|1.5||||2.02|2.07|2.07||2|2|4|0.06|0.09|0.14|||||16.2|||20.6|||20||3|6|6|37|46|49|19|25|25|0|6|12|".10"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|15|17|20||17|||7.2||4.5|5.4|6|||||8.31|||||||12.4|||||||||||||||||||||"27305207"|"81503717"
"Bt1"||"B"||1||14|||29|||||0|0|0|0|10|30|55|60|80|50|55|75|40|50|75|30|40|60||30|||2|||4|||6|||8|||10|||46|||12|||35||20|24|30||||2|4|5||||1.45|1.5|1.55||||1.67|1.72|1.84||3|6|7|0.07|0.12|0.18|||||20.8|||15.3|||25||2|3|4.5|34|42|50|13|16|21|0|2|11|".15"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|15|21|25||10.5|||10.5||5.1|5.9|6.5|||||6.33|||||||13.7|||||||||||||||||||||"27305207"|"81503715"
"Bt2"||"B"||2||29|||44|||||0|0|0|0|15|30|55|75|80|50|70|75|40|65|75|30|50|60||33|||3|||6|||7|||8|||9|||44|||11|||33||20|23|30||||2|2.7|5||||1.45|1.5|1.55||||1.58|1.63|1.8||3|6|7|0.07|0.13|0.18|||||22.7|||16|||29||2|2|4.5|34|38|50|13|15|21|0|4|11|".17"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|15|20|25||9|||8.9||5.1|5.8|6.5|||||6.62|||||||13.1|||||||||||||||||||||"27305207"|"81503712"
"Bt5"||"B"||5||103|||136|||||0|0|0|0|50|50|30|60|80|25|55|75|20|55|75|15|45|60||33|||2|||6|||8|||9|||8|||39|||11|||28||27|28|35||||0.2|0.34|2||||1.4|1.45|1.5||||1.63|1.8|1.85||2|4|4|0.06|0.07|0.14|||||12.9|||16.9|||18||3|3.5|6|37|38|49|19|19|25|0|4|12|".10"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|15|18|20||18|||3.5||4.5|5.3|6|||||5.36|||||||14.1|||||||||||||||||||||"27305207"|"81503713"
"Oi"||"O"||||0|||3||||||0|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"27305207"|"81503710"
"Oe"||"O"||||3|||4||||||0|||0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"27305207"|"81503711"
"Cr"||"C"||||136|||161|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.06|||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"27305207"|"81503709"
"A"||"A"||||8|||13|||||0|0|0|0|0|0|45|86|95|40|81|90|35|76|85|25|61|70||33|||5|||8|||7|||8|||6|||41|||10|||31||20|26|27||||10|14.8|15||||1.45|1.5|1.55||||1.61|1.66|1.69||4|14|14|0.09|0.16|0.17||||15.2|26.6|29.5|14|19.5|26.5|16|28|31|2|3|3.5|51|67|68|13|17|18|0|11|16|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|20|28.8|30||7.2|||7.2||5.6|5.7|6.5|||||5.5|||0.48|||26.5|||0.8|||1.3||||||||||||||||"27305208"|"81503721"
