"areasymbol","cokey","comppct_r"
"CA708",26882600,1
"CA708",26882601,5
"CA708",26882602,5
"CA708",26882603,4
"CA708",26882604,85
"CA708",26886688,90
"CA708",26886689,8
"CA708",26886690,1
"CA708",26886691,1
"CA708",26886692,50
"CA708",26886693,20
"CA708",26886694,25
"CA708",26886695,3
"CA708",26886696,2
"CA708",26886697,85
"CA708",26886698,10
"CA708",26886699,5
"CA708",26886700,40
"CA708",26886701,5
"CA708",26886702,5
"CA708",26886703,50
"CA708",26886704,50
"CA708",26886705,5
"CA708",26886706,3
"CA708",26886707,1
"CA708",26886708,1
"CA708",26886709,40
"CA708",26886710,50
"CA708",26886711,45
"CA708",26886712,5
"CA708",26886720,75
"CA708",26886721,5
"CA708",26886722,10
"CA708",26886723,4
"CA708",26886724,4
"CA708",26886725,2
"CA708",26886726,1
"CA708",26886727,1
"CA708",26886728,2
"CA708",26886729,2
"CA708",26886730,2
"CA708",26886731,8
"CA708",26886732,2
"CA708",26886733,2
"CA708",26886734,80
"CA708",27089135,60
"CA708",27089136,30
"CA708",27089137,90
"CA708",27089138,2
"CA708",27089139,8
"CA708",27089140,35
"CA708",27089141,45
"CA708",27089142,85
"CA708",27089143,3
"CA708",27089144,10
"CA708",27089145,1
"CA708",27089146,1
"CA708",27089147,80
"CA708",27089148,30
"CA708",27089149,65
"CA708",27089150,1
"CA708",27089151,1
"CA708",27089152,1
"CA708",27089153,2
"CA708",27089154,60
"CA708",27089155,25
"CA708",27089160,20
"CA708",27089161,25
"CA708",27089162,40
"CA708",27089168,35
"CA708",27089169,40
"CA708",27089174,25
"CA708",27089175,60
"CA708",27089182,60
"CA708",27089183,25
"CA708",27089187,35
"CA708",27089188,25
"CA708",27089189,25
"CA708",27089196,40
"CA708",27089197,30
"CA708",27089198,20
"CA708",27089208,35
"CA708",27089209,30
"CA708",27089210,15
"CA708",27089211,90
"CA708",27089212,5
"CA708",27089213,3
"CA708",27089214,2
"CA708",27089215,25
"CA708",27089216,65
"CA708",27089217,10
"CA708",27089218,10
"CA708",27089219,80
"CA708",27089220,45
"CA708",27089221,35
"CA708",27089222,65
"CA708",27089223,20
"CA708",27089224,5
"CA708",27089225,3
"CA708",27089226,2
