"areasymbol","areaname","mukey","musym","muname","cokey","compname","comppct_r","chkey","hzname","hzdept_r","hzdepb_r","claytotal_r","sandtotal_r","sandvf_r","silttotal_r","om_r","dbthirdbar_r","kffact","kwfact","hydgrp","slope_r"
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461126,"181","Dodgeland silty clay loam, 0 to 1 percent slopes, frequently flooded",27304380,"Dodgeland",80,81502274,"Ap1",0,10,39,18,6.3,43,2,1.5,".24",".24","C/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461127,"100","Anita-Galt , 0 to 3 percent slopes",27304387,"Anita",60,81502293,"A1",0,3,48,15,3.5,37,2.24,1.35,".24",".24","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461127,"100","Anita-Galt , 0 to 3 percent slopes",27304388,"Galt",25,81502295,"A1",0,8,45,26.1,7.8,28.9,1.5,1.35,".24",".24","D",2
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461128,"104","Bosquejo clay, 0 to 1 percent slopes",27304404,"Bosquejo",85,81502312,"Ap",0,20,47,23.5,5.7,29.5,2.3,1.35,".24",".24","C",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461129,"105","Busacca clay loam, 0 to 1 percent slopes",27304419,"Busacca",85,81502324,"Ap",0,8,35,33.3,10.1,31.7,2.3,1.45,".24",".24","C",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461130,"110","Bosquejo silt loam, 0 to 1 percent slopes, overwash, occasionally flooded",27304425,"Bosquejo",90,81502339,"Ap",0,20,25,20.5,8.7,54.5,4,1.5,".37",".37","C",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461131,"139su","Liveoak-Galt taxadjuncts , 0 to 2 percent slopes, frequently flooded",27304436,"Liveoak taxadjunct",45,81502350,"Ak",0,15,21.5,41.4,11.9,37.1,0.75,1.5,".37",".37","B",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461132,"120","Gridley taxadjunct clay loam, 0 to 2 percent slopes",27304456,"Gridley taxadjunct",80,81502365,"A",0,10,28,34.4,10.3,37.6,2,1.43,".28",".28","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461133,"121","Boga-Loemstone , 0 to 1 percent slopes",27304463,"Boga",45,81502382,"Ap1",0,8,24,39.1,11.6,36.9,2.9,1.5,".32",".32","C",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461133,"121","Boga-Loemstone , 0 to 1 percent slopes",27304464,"Loemstone",40,81502383,"Ap1",0,5,23,28,11,49,2.9,1.5,".37",".37","C",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461135,"125","Gridley taxadjunct-Calcic Haploxerolls , 0 to 2 percent slopes",27304477,"Calcic Haploxerolls",20,81502401,"A",0,13,15,66.8,10.6,18.2,2,1.3,".20",".20","B",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461136,"126","Liveoak sandy loam, 0 to 2 percent slopes",27304492,"Liveoak",85,81502423,"Ap1",0,10,16,65.1,10.3,18.9,2,1.55,".20",".20","B",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461140,"130","Eastbiggs loam, 0 to 2 percent slopes",27304521,"Eastbiggs",80,81502460,"A1",0,8,23,41.6,12.3,35.4,0.8,1.55,".37",".37","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461141,"133","Eastbiggs-Galt , 0 to 3 percent slopes",27304537,"Eastbiggs",50,81502480,"A1",0,8,23,41.6,12.3,35.4,0.8,1.55,".37",".37","D",2
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461141,"133","Eastbiggs-Galt , 0 to 3 percent slopes",27304541,"Galt",40,81502486,"A",0,15,30,33.3,10,36.7,1.5,1.43,".32",".32","C/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461142,"136","Duric Xerarents-Eastbiggs , 0 to 1 percent slopes, leveled",27304553,"Eastbiggs",25,81502506,"Ap1",0,13,15,68.1,16.6,16.9,0.8,1.5,".28",".28","C/D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461142,"136","Duric Xerarents-Eastbiggs , 0 to 1 percent slopes, leveled",27304554,"Duric Xerarents",30,81502515,"Ap",0,13,35,33.3,10.1,31.7,1.5,1.45,".28",".28","C",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461142,"136","Duric Xerarents-Eastbiggs , 0 to 1 percent slopes, leveled",27304558,"Duric Xerarents",35,81502522,"Bt1",0,8,32,34.8,10.5,33.2,0.3,1.45,".37",".37","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461144,"150","Columbia, 0 to 2 percent slopes, frequently flooded",27304579,"Columbia",85,81502561,"A",0,13,10,90,24.5,0,2,1.65,".10",".10","A",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461146,"152","Gianella fine sandy loam, 0 to 1 percent slopes, frequently flooded",27304589,"Gianella",85,81502585,"A",0,15,15,68.8,16.9,16.2,3,1.55,".24",".24","B",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461147,"153","Gianella sandy loam, 0 to 1 percent slopes, frequently flooded",27304600,"Gianella",85,81502611,"A",0,15,4,66.5,12.2,29.5,3.2,1.55,".20",".20","A",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461148,"154","Gianella silt loam, 0 to 1 percent slopes, frequently flooded",27304611,"Gianella",85,81502639,"A",0,5,11,37,18,52,4,1.5,".43",".43","B",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461150,"158","Gianella fine sandy loam, 0 to 1 percent slopes, occasionally flooded",27304622,"Gianella",85,81502656,"Ap",0,8,13,70.5,17.3,16.5,4,1.55,".20",".20","A",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461153,"175","Farwell clay loam, 0 to 1 percent slopes",27304646,"Farwell",85,81502702,"Ap",0,13,28.6,29.1,8.7,42.3,2.1,1.3,".32",".32","C",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461154,"176","Farwell loam, 0 to 1 percent slopes, occasionally flooded",27304657,"Farwell",85,81502730,"Ap",0,15,24,39.1,11.6,36.9,2.1,1.5,".32",".32","C",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461155,"177","Farwell silt loam, 0 to 1 percent slopes, occasionally flooded",27304669,"Farwell",85,81502755,"A",0,15,26,19.7,8.6,54.3,2,1.5,".37",".37","A",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461157,"189","Esquon silt loam, 0 to 1 percent slopes, overwash",27304683,"Esquon",90,81502779,"Ap1",0,10,22,26,8.5,52,1.5,1.5,".43",".43","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461158,"150su","Olashes sandy loam, 0 to 2 percent slopes",27304695,"Olashes",85,81502801,"A",0,10,17.5,67.2,9.9,15.3,1.5,1.55,".24",".24","C",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461159,"200","Parrott silt loam, 0 to 2 percent slopes, occasionally flooded",27304711,"Parrott",85,81502825,"A1",0,4,22,4,2.6,74,4.5,1.33,".37",".37","A",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461160,"201","Parrott silt loam, 0 to 2 percent slopes, frequently flooded",27304721,"Parrott",85,81502853,"A1",0,4,22,4,2.6,74,4.5,1.33,".37",".37","A",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461161,"203","Kusalslough silty clay loam, 0 to 1 percent slopes, occasionally flooded",27304734,"Kusalslough",85,81502887,"Ap1",0,10,31,18.1,11.1,50.9,3.78,1.5,".32",".32","C",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461162,"205","Parrott-Vermet , 0 to 2 percent slopes, frequently flooded",27304747,"Parrott",46,81502906,"A1",0,4,22,4,2.6,74,4.5,1.33,".37",".37","A",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461162,"205","Parrott-Vermet , 0 to 2 percent slopes, frequently flooded",27304748,"Vermet",44,81502920,"A1",0,5,18,11.8,6.8,70.2,5,1.5,".43",".43","C/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461163,"220","Esquon-Clearlake , 0 to 1 percent slopes, frequently flooded",27304756,"Clear Lake",30,81502945,"A",0,1,38,18.4,6.4,43.6,1.5,1.3,".28",".28","C/D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461164,"252","Whitecabin-Ordferry silty clays, 0 to 1 percent slopes, occasionally flooded",27304766,"Whitecabin",60,81502970,"Ap",0,13,43,7.6,5.3,49.4,1.8,1.48,".24",".24","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461164,"252","Whitecabin-Ordferry silty clays, 0 to 1 percent slopes, occasionally flooded",27304770,"Ordferry",25,81502978,"A1",0,8,50,5.3,2.5,44.7,1.8,1.35,".20",".20","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461165,"255","Whitecabin-Ordferry , 0 to 1 percent slopes, occasionally flooded",27304778,"Whitecabin",60,81503000,"Ap",0,20,30,17.5,10.7,52.5,1.5,1.4,".43",".43","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461165,"255","Whitecabin-Ordferry , 0 to 1 percent slopes, occasionally flooded",27304781,"Ordferry",30,81503006,"A1",0,8,50,5.3,2.5,44.7,1.8,1.35,".20",".20","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461166,"256","Whitecabin silt loam, 0 to 1 percent slopes, occasionally flooded",27304789,"Whitecabin",85,81503024,"Ap",0,15,22,22.4,7.4,55.6,1.5,1.5,".49",".49","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461167,"280","Columbia very fine sandy loam, 0 to 1 percent slopes, frequently flooded",27304800,"Columbia taxadjunct",80,81503043,"C1",0,20,10,68.5,18.5,21.5,0.75,1.55,".32",".32","A/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461168,"290","Perkins gravelly loam, 0 to 2 percent slopes",27304813,"Perkins",90,81503057,"Ap",0,20,13,43.8,12.3,43.2,1.4,1.5,".43",".24","A",2
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461169,"310","Kimball loam, 1 to 3 percent slopes",27304825,"Kimball",85,81503076,"Ap1",0,5,18,42.1,12.2,39.9,2,1.5,".43",".43","C",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461172,"320","Vistarobles-Redding , 0 to 9 percent slopes",27304836,"Redding",40,81503089,"A1",0,10,22,41.1,11.8,36.9,1,1.5,".32",".32","C",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461172,"320","Vistarobles-Redding , 0 to 9 percent slopes",27304837,"Vistarobles",50,81503095,"A1",0,13,17,64.4,10.2,18.6,1.5,1.55,".28",".28","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461173,"330","Wilsoncreek-Trainer loams, 0 to 2 percent slopes, occasionally flooded",27304850,"Wilsoncreek",60,81503110,"Ap",0,18,13,40,32.2,47,2,1.5,".43",".43","A",1
